Ticker,CIK10,FiscalYear,FY_EndDate,TA,TL,CA,CL,RE,EBIT,Sales,NI,CFO,LT,Shares_EOP,GP,SE,WC,BVE,Price_Close_near_FYEnd,Shares_Yahoo_proxy,Altman_Z_original_FY,Altman_Zpp_FY,Piotroski_F_FY,Altman_Z_original_GF,Piotroski_F_GF,GF_MVE_Mode,GF_MVE_Current,SIC,SIC_Desc,Is_Manufacturing
CRM,0001108524,2013,2014-01-31,9152930000.0,6087715000.0,2680252000.0,3980188000.0,-343157000.0,-286074000.0,4071003000.0,-232175000.0,875469000.0,255000000.0,610143000.0,3102575000.0,3038510000.0,-1299936000.0,3038510000.0,60.529998779296875,956000000.0,3.758699810471935,-0.7398552180709128,3.0,22.96203182803069,4.0,current,231772642333.98438,,,False
CRM,0001108524,2015,2015-01-31,10692982000.0,6717799000.0,3550072000.0,4390103000.0,-605845000.0,-145633000.0,5373586000.0,-262688000.0,1173714000.0,,650596000.0,4084316000.0,3975183000.0,-840031000.0,3975183000.0,56.45000076293945,956000000.0,3.5641916190177687,-0.17025051830306004,5.0,20.98476323519316,4.0,current,231772642333.98438,,,False
CRM,0001108524,2016,2016-01-31,12770772000.0,7767903000.0,4347327000.0,5617005000.0,-653271000.0,114923000.0,6667216000.0,-47426000.0,1612585000.0,,670929000.0,5012668000.0,5002869000.0,-1269678000.0,5002869000.0,68.44000244140625,956000000.0,3.907623228659756,-0.08224142975549331,4.0,18.263177869543465,4.0,current,231772642333.98438,,,False
CRM,0001108524,2017,2017-01-31,17584923000.0,10084796000.0,5996827000.0,7258353000.0,-464910000.0,64228000.0,8391984000.0,179632000.0,2162198000.0,,707460000.0,6157945000.0,7500127000.0,-1261526000.0,7500127000.0,79.0999984741211,956000000.0,3.6955524366282706,0.24863999502292,5.0,14.1556087876035,6.0,current,231772642333.98438,,,False
CRM,0001108524,2018,2018-01-31,21009802000.0,11617439000.0,9290371000.0,10129518000.0,-337432000.0,235768000.0,,127478000.0,2737965000.0,694781000.0,731500000.0,7706490000.0,9388496000.0,-839147000.0,9388496000.0,113.91000366210938,956000000.0,4.270070933139437,0.6095865448662099,4.0,11.936862623897687,4.0,current,231772642333.98438,,,False
CRM,0001108524,2019,2019-01-31,30737000000.0,15132000000.0,10683000000.0,11255000000.0,1735000000.0,535000000.0,13282000000.0,1110000000.0,3398000000.0,3173000000.0,771000000.0,9831000000.0,15605000000.0,-572000000.0,15605000000.0,151.97000122070312,956000000.0,5.192121618682297,1.2617254258758732,5.0,9.736283846787856,5.0,current,231772642333.98438,,,False
CRM,0001108524,2020,2021-01-31,66301000000.0,24808000000.0,21889000000.0,17728000000.0,5933000000.0,455000000.0,21252000000.0,4072000000.0,4801000000.0,2673000000.0,921000000.0,15814000000.0,41493000000.0,4161000000.0,41493000000.0,228.4600067138672,956000000.0,5.632739337953017,2.5057349008096086,7.0,6.149370492834813,8.0,current,231772642333.98438,,,False
CRM,0001108524,2021,2021-01-31,66301000000.0,24808000000.0,21889000000.0,17728000000.0,5933000000.0,455000000.0,21252000000.0,4072000000.0,4801000000.0,2673000000.0,921000000.0,15814000000.0,41493000000.0,4161000000.0,41493000000.0,228.4600067138672,956000000.0,5.632739337953017,2.5057349008096086,5.0,6.149370492834813,5.0,current,231772642333.98438,,,False
CRM,0001108524,2022,2022-01-31,95209000000.0,37078000000.0,22850000000.0,21788000000.0,7377000000.0,548000000.0,26492000000.0,1444000000.0,6000000000.0,10592000000.0,990000000.0,19466000000.0,58131000000.0,1062000000.0,58131000000.0,232.6300048828125,956000000.0,4.145903516204349,2.0106366478500637,3.0,4.169674013534302,4.0,current,231772642333.98438,,,False
CRM,0001108524,2023,2023-01-31,98849000000.0,40490000000.0,26395000000.0,25891000000.0,7585000000.0,1030000000.0,31352000000.0,208000000.0,7111000000.0,9419000000.0,1000000000.0,22992000000.0,58359000000.0,504000000.0,58359000000.0,167.97000122070312,956000000.0,2.954160361158058,1.8670043475158271,5.0,3.899618120307694,5.0,current,231772642333.98438,,,False
CRM,0001108524,2024,2024-01-31,99823000000.0,40177000000.0,29074000000.0,26631000000.0,11721000000.0,5011000000.0,34857000000.0,4136000000.0,10234000000.0,8427000000.0,970000000.0,26316000000.0,59646000000.0,2443000000.0,59646000000.0,281.0899963378906,956000000.0,4.780438764941219,2.4394731409542745,9.0,4.16987071684749,9.0,current,231772642333.98438,,,False
CRM,0001108524,2025,2025-01-31,102928000000.0,41755000000.0,29727000000.0,27980000000.0,16369000000.0,7205000000.0,37895000000.0,6197000000.0,13092000000.0,8433000000.0,961000000.0,29252000000.0,61173000000.0,1747000000.0,61173000000.0,341.70001220703125,956000000.0,5.560763863213679,2.6384933008941607,8.0,4.172651262610551,8.0,current,231772642333.98438,,,False
INTC,0000050863,2009,2009-12-26,53095000000.0,11391000000.0,21157000000.0,7591000000.0,26318000000.0,5711000000.0,35127000000.0,4369000000.0,11170000000.0,2049000000.0,5524000000.0,19561000000.0,41704000000.0,13566000000.0,41704000000.0,20.329999923706055,4376999936.0,7.932445762699222,7.859025818902383,,7.6794142384452115,,current,107499116090.58984,,,False
INTC,0000050863,2010,2010-12-25,63186000000.0,13756000000.0,31611000000.0,9327000000.0,32919000000.0,15588000000.0,43623000000.0,11464000000.0,16692000000.0,2077000000.0,5488000000.0,28491000000.0,49430000000.0,22284000000.0,49430000000.0,20.84000015258789,4376999936.0,7.645599245650676,9.442782142471462,9.0,7.345913083387844,9.0,current,107499116090.58984,,,False
